utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM31,57.14285714,43,39.18918919,28.97196262,32.55813953,44.18604651
UTAM105,50,23.28767123,17.56756757,8.783783784,18.18181818,14.28571429
UTAM84,58,67,67,47.16981132,68,77
UTAM10,100,43.03797468,30,24.51361868,27.86885246,40.27777778
UTAM86,100,63,65,48.97959184,46.875,70
UTAM26,20,44,25,20.11661808,20.51282051,28.5
UTAM640,0,33.33333333,66,69.6969697,51.35135135,63.2183908
UTAM500,0,56,62,47.09677419,55.55555556,67
UTAM520,0,63,62,47.89915966,49.09090909,57.65765766
UTAM573,0,61,61,44.02173913,61,69.52380952
UTAM93,28.57142857,26.62116041,43,32,22.35294118,32
UTAM97,36,20.47244094,22.43713733,27,24,35
UTAM41,66.66666667,27.45098039,37.70491803,54.33962264,55,48
UTAM40,37.5,35.18518519,27.90697674,46,44,47
UTAM83,100,38.23529412,45,35.8974359,46.80851064,41.22807018
UTAM22,11.11111111,37.11340206,36.36363636,31.77257525,39.55223881,41.37931034
UTAM29,80,52.73972603,51,29.84293194,36.58536585,45.02369668
UTAM46,30.76923077,48.0620155,36.36363636,41,25.67567568,47.18309859
UTAM81,75,61,65,54.83870968,48.64864865,73.91304348
UTAM70,50,58,37.5,36.70886076,44.11764706,48.71794872
UTAM44,71,43,42,38.51590106,28.08988764,35.81081081
UTAM110,11.11111111,12.5,28.97727273,25.3968254,31.81818182,24.63054187
UTAM21,9.090909091,18.26923077,32.14285714,23.03206997,16.66666667,35
UTAM102,48,27.95275591,35.8490566,35,21.95121951,45
UTAM590,75,48,35,11.5,18.88111888,28.42105263
UTAM18,33.33333333,34.92063492,41.11111111,41,33,30.76923077
UTAM14,25,15.51724138,16.09195402,20.0750469,26,16.19047619
UTAM79,33.33333333,60.60606061,51.11111111,52.83018868,44,62
UTAM47,60,57,49,39.7260274,41.74757282,45.18518519
UTAM91,50,34.17721519,39.7260274,43,34,46
UTAM115,16.66666667,20.74074074,31.57894737,19.32773109,14.49275362,26.77165354
UTAM95,0,56.97674419,61,43.18181818,50,31.70731707
UTAM24,50,44.44444444,30.53435115,25.606469,23.1884058,22.35772358
UTAM112,60,24.07407407,22.11538462,25.31380753,20.3539823,41.36363636
UTAM50,0,30,52,54.12371134,41.37931034,50.31055901
UTAM30,50,52,49,37.91469194,24.07407407,29.20353982
UTAM33,66.66666667,30,45.23809524,42.80821918,33.15508021,53
UTAM48,57,50.27322404,34.375,50.53003534,35.71428571,39.50617284
UTAM38,46,32,34.35582822,42,40,47
UTAM23,0,18.18181818,25,18.90547264,16.25,25.88235294
UTAM99,17.39130435,34,22.29166667,22,21.69811321,35
UTAM17,50,31.37254902,35.66433566,30.54830287,26.42487047,30
UTAM59,0,0,57.57575758,51,47.01492537,58.33333333
UTAM80,0,64,27.77777778,51.04166667,38.46153846,62
UTAM620,0,0,20,54,58,61
UTAM98,7.692307692,44,34.57627119,28.78787879,21.67832168,42
UTAM36,67,36.93181818,43.5483871,39.13043478,46.84684685,46
UTAM65,39,52,37.40458015,33.33333333,25.53191489,50
UTAM49,67,52,33.33333333,33.84615385,33.33333333,53.75722543
UTAM572,0,52.17391304,64.28571429,70,58,68
UTAM75,64,48,38,30.5,49,36
UTAM20,0,8.450704225,11.25,25.11111111,21.66666667,29.59501558
UTAM82,25,59,59,61.64383562,31.25,67
UTAM670,0,0,88.23529412,69,57.5,69
UTAM72,0,29.03225806,42,25.25773196,30.82191781,33.33333333
UTAM3,0,11.11111111,0,12.5,12.5,4.166666667
UTAM16,14.28571429,13.6,17.81609195,27,24.03846154,31.97026022
UTAM52,100,65,63,32.5,41.09589041,44.7761194
UTAM43,33.33333333,19.67213115,32.14285714,48,21.25,47.02970297
UTAM19,50,22.22222222,26.31578947,32.02933985,29.88505747,25.1396648
UTAM111,25,14.70588235,16.19047619,41.41414141,16.88311688,33.15217391
UTAM39,61,48,41.76706827,33.18584071,50,46
UTAM101,14.28571429,27.77777778,24.83870968,36,28.99408284,40
UTAM104,20,19.44444444,16.66666667,30.76923077,20.42253521,32.87037037
UTAM600,0,6.25,58,34.86238532,42.85714286,20
UTAM71,72.72727273,59,54.61538462,36.76470588,50,26.92307692
UTAM85,72,52,50.23923445,38.33333333,46.15384615,65.97938144
UTAM57,0,51.51515152,69,50,55,54
UTAM78,0,40.74074074,28.57142857,40.55299539,32.05128205,33.66336634
UTAM113,45,34.92063492,6.896551724,41.06463878,12,28
UTAM107,75,27.41935484,32.58426966,34.73389356,27.83505155,30.48780488
UTAM74,66.66666667,66.66666667,52.17391304,37.20930233,58.53658537,57.89473684
UTAM109,0,9.333333333,17.6,21.63461538,17.43119266,26.1682243
UTAM563,0,27.27272727,24.67532468,65,63,58
UTAM580,0,0,64.1509434,71,25,58
UTAM100,31.81818182,30.24691358,18.01242236,42,38.41463415,34.14634146
UTAM28,58,52,58,44.04145078,43.47826087,51.85185185
UTAM11,48,39.15343915,57.14285714,51.49700599,31.25,50.76923077
UTAM540,0,24.32432432,65,54,46.66666667,67
UTAM92,66.66666667,58.33333333,56.52173913,46.25,53.48837209,60.26490066
UTAM45,37.5,51,35.74297189,36.8159204,30,40.24390244
UTAM700,0,0,0,71,67,14.28571429
UTAM69,42.85714286,57,44.54545455,48.21428571,19.04761905,47
UTAM114,0,23.63636364,32,25.97402597,35.8974359,37.08609272
UTAM570,50,35.48387097,45,40.85365854,48.12030075,64
UTAM117,0,6.25,5.333333333,5.982905983,16,1.041666667
UPR1,0,32.5,31.81818182,21.27659574,17.14285714,10
UTAM34,14.28571429,31.57894737,55,56,53,52
UTAM42,59,41,39.69465649,34.53608247,44.26229508,49
UTAM54,50,61,55,40.98360656,54.54545455,52.63157895
UTAM13,53.33333333,28.72340426,30.76923077,32,26.76056338,19.23076923
UTAM94,17.64705882,35.29411765,53,27.18204489,43,45
UTAM32,0,42.30769231,42,47.78761062,48.67256637,49.57264957
UTAM73,33.33333333,34.28571429,48,33.4519573,21.23893805,46.37681159
UTAM27,88.88888889,55,43,39,44,52.85714286
UTAM106,100,14.70588235,22,21.88552189,36.17021277,37.69230769
UTAM96,0,59.86842105,59,48.88888889,64.70588235,64
UTAM76,55,46.53465347,37.5,21.73913043,33.33333333,51.28205128
UTAM58,100,25,67.53246753,61,59,57.14285714
UTAM575,0,56.25,78.75,65,39.13043478,62
UTAM88,12.5,32.20338983,30.39215686,26.49842271,31.21019108,24.32432432
UTAM650,0,25,55,38,17.39130435,47.74774775
UTAM90,0,31.30434783,27.95698925,35.77981651,19.31818182,42.55319149
UTAM108,60,23.36448598,13.59223301,37.29508197,20,37.5
UTAM610,0,6.451612903,11.11111111,40.83769634,59,53.84615385
UTAM66,50,71,48.95833333,40,20.68965517,63
UTAM116,0,27.27272727,28.125,25.58139535,17.14285714,24.52830189
UTAM77,42.85714286,35.29411765,33.33333333,29.28571429,42,21.42857143
UTAM35,57.14285714,39.39393939,38.55421687,44,32,43
UTAM12,33.33333333,42.42424242,30.50847458,30.51771117,22.36842105,27.36842105
UTAM53,57.14285714,45.09803922,44.32989691,26.08695652,46,47.2972973
UPR3,0,53.84615385,35.80246914,55.78947368,68.75,41.7721519
UTAM690,0,0,0,65,61.29032258,67.40740741
UTAM501,0,41.50943396,49.19354839,29.78723404,45.45454545,70.37037037
UTAM51,100,62.5,47.61904762,55.43478261,43.03797468,40.85365854
UTAM571,0,17.5,55,57,57,48.68421053
UTAM2,0,21.42857143,8.333333333,11.76470588,10,12.82051282
UTAM56,0,40,60,32.55813953,51.88679245,66.43835616
UTAM9,64,54,41.12554113,49.00398406,32.65306122,56
UPR2,0,20,46.66666667,42,33.76623377,21.05263158
UTAM680,0,0,45,71,56,0
UTAM37,42.85714286,36.48648649,46.22641509,49.70414201,36,52
UTAM87,0,72,58,15.38461538,66.07142857,64.61538462
UTAM15,0,4.761904762,6.896551724,15.94684385,38.21138211,26
UTAM55,45,54,51.85185185,41.66666667,39.39393939,39.79591837
UTAM61,50,0,57.14285714,49,45.83333333,30.76923077
UTAM574,0,22.58064516,70,54,55,60
UTAM89,0,5.555555556,16.12903226,37.38019169,34.23913043,41.55844156
UTAM68,50,53.48837209,47.28682171,47.05882353,56,64.58333333
UTAM67,0,58,47.5862069,50.56179775,66.21621622,52.30769231
UTAM62,75,57,38.46153846,39.13043478,56.66666667,30.76923077
UTAM25,37.5,20.75471698,18.82352941,26.68463612,18.32061069,32.56880734
UTAM660,0,0,14.28571429,55,47.47474747,40
UTAM630,0,20,15.38461538,62,37.31343284,69.62025316
UTAM1,0,54.54545455,53.57142857,44.11764706,21.05263158,35.8974359
UTAM64,0,0,33.33333333,21.42857143,0,0
UTAM103,0,39.02439024,47.72727273,16.66666667,18.18181818,44.94382022
UTAM60,0,0,100,82.35294118,0,66.66666667
UTAM63,0,0,50,50,0,100
